Postcode,Latitude,Longitude,County,District,Ward
E1 0AA,51.512497,-0.052098,Greater London,Tower Hamlets,Shadwell
E1 0AD,51.51291,-0.055323,Greater London,Tower Hamlets,Shadwell
E1 0AE,51.510671,-0.052594,Greater London,Tower Hamlets,Shadwell
E1 0AF,51.510864,-0.051161,Greater London,Tower Hamlets,Shadwell
E1 0AG,51.513392,-0.054034,Greater London,Tower Hamlets,Shadwell
E1 0AH,51.511129,-0.051464,Greater London,Tower Hamlets,Shadwell
E1 0AJ,51.511258,-0.052785,Greater London,Tower Hamlets,Shadwell
E1 0AL,51.511002,-0.052522,Greater London,Tower Hamlets,Shadwell
E1 0AN,51.511296,-0.052365,Greater London,Tower Hamlets,Shadwell
E1 0AP,51.511394,-0.051713,Greater London,Tower Hamlets,Shadwell
E1 0AQ,51.511551,-0.050884,Greater London,Tower Hamlets,Shadwell
E1 0AR,51.511598,-0.052093,Greater London,Tower Hamlets,Shadwell
E1 0AS,51.511572,-0.052685,Greater London,Tower Hamlets,Shadwell
E1 0AT,51.513148,-0.054364,Greater London,Tower Hamlets,Shadwell
E1 0AU,51.511313,-0.053388,Greater London,Tower Hamlets,Shadwell
E1 0AW,51.511105,-0.051682,Greater London,Tower Hamlets,Shadwell
E1 0AX,51.511313,-0.053388,Greater London,Tower Hamlets,Shadwell
E1 0AY,51.512879,-0.053422,Greater London,Tower Hamlets,Shadwell
E1 0AZ,51.512534,-0.05433,Greater London,Tower Hamlets,Shadwell
E1 0BA,51.512598,-0.053837,Greater London,Tower Hamlets,Shadwell
E1 0BB,51.513612,-0.053638,Greater London,Tower Hamlets,Shadwell
E1 0BD,51.513707,-0.052925,Greater London,Tower Hamlets,Shadwell
E1 0BE,51.511737,-0.05128,Greater London,Tower Hamlets,Shadwell
E1 0BF,51.513079,-0.054667,Greater London,Tower Hamlets,Shadwell
E1 0BG,51.51256,-0.052643,Greater London,Tower Hamlets,Shadwell
E1 0BH,51.510554,-0.060643,Greater London,Tower Hamlets,Shadwell
E1 0BJ,51.510176,-0.061262,Greater London,Tower Hamlets,Whitechapel
E1 0BL,51.510931,-0.060036,Greater London,Tower Hamlets,Shadwell
E1 0BN,51.511987,-0.052278,Greater London,Tower Hamlets,Shadwell
E1 0BP,51.510164,-0.056708,Greater London,Tower Hamlets,Shadwell
E1 0BQ,51.51125,-0.051214,Greater London,Tower Hamlets,Shadwell
E1 0BS,51.510626,-0.056371,Greater London,Tower Hamlets,Shadwell
E1 0BT,51.510529,-0.055986,Greater London,Tower Hamlets,Shadwell
