Postcode,Latitude,Longitude,County,District,Ward
E1 0AA,51.512497,-0.052098,Greater London,Tower Hamlets,Shadwell
E1 0AA,51.512497,-0.052098,Greater London,Tower Hamlets,Shadwell
E1 0AA,51.512497,-0.052098,Greater London,Tower Hamlets,Shadwell
E1 0AA,51.512497,-0.052098,Greater London,Tower Hamlets,Shadwell
E1 0AA,51.512497,-0.052098,Greater London,Tower Hamlets,Shadwell
E1 0AD,51.51291,-0.055323,Greater London,Tower Hamlets,Shadwell
E1 0AE,51.510671,-0.052594,Greater London,Tower Hamlets,Shadwell
E1 0AF,51.510864,-0.051161,Greater London,Tower Hamlets,Shadwell
E1 0AG,51.513392,-0.054034,Greater London,Tower Hamlets,Shadwell
E1 0AH,51.511129,-0.051464,Greater London,Tower Hamlets,Shadwell
E1 0AJ,51.511258,-0.052785,Greater London,Tower Hamlets,Shadwell
E1 0AJ,51.511258,-0.052785,Greater London,Tower Hamlets,Shadwell
E1 0AJ,51.511258,-0.052785,Greater London,Tower Hamlets,Shadwell
E1 0AJ,51.511258,-0.052785,Greater London,Tower Hamlets,Shadwell
E1 0AJ,51.511258,-0.052785,Greater London,Tower Hamlets,Shadwell
E1 0AJ,51.511258,-0.052785,Greater London,Tower Hamlets,Shadwell
E1 0AL,51.511002,-0.052522,Greater London,Tower Hamlets,Shadwell
E1 0AN,51.511296,-0.052365,Greater London,Tower Hamlets,Shadwell
E1 0AP,51.511394,-0.051713,Greater London,Tower Hamlets,Shadwell
E1 0AQ,51.511551,-0.050884,Greater London,Tower Hamlets,Shadwell
E1 0AR,51.511598,-0.052093,Greater London,Tower Hamlets,Shadwell
E1 0AS,51.511572,-0.052685,Greater London,Tower Hamlets,Shadwell
E1 0AT,51.513148,-0.054364,Greater London,Tower Hamlets,Shadwell
E1 0AU,51.511313,-0.053388,Greater London,Tower Hamlets,Shadwell
E1 0AW,51.511105,-0.051682,Greater London,Tower Hamlets,Shadwell
E1 0AX,51.511313,-0.053388,Greater London,Tower Hamlets,Shadwell
